step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,3784,8,0.3486394913576729,0.0,0.5288888888888889
2,6096,16,0.6203035994673505,0.0,0.5501285347043702
3,9304,24,0.632086337130355,0.0,0.5577439570277529
4,12576,32,0.5182615816009625,0.0,0.5644171779141104
5,16808,40,0.3675044627891998,0.0,0.5826446280991735
6,19632,48,0.6425277039333201,0.0,0.5744274809160306
7,23224,56,0.5637340012332211,0.0,0.5888529886914378
8,26624,64,0.6589542449746819,0.0,0.5099739809193409
9,30600,72,0.34219610425239594,0.0,0.5730337078651685
10,32080,80,0.640801487988616,0.0,0.5031578947368421
11,35480,88,0.46338374508571123,0.0,0.5666293393057111
12,38048,96,0.5047585863474585,0.0,0.5667107001321003
13,42280,104,0.4059542250009226,0.0,0.5334796926454446
14,44272,112,0.7170822020062668,0.0,0.5096952908587258
15,47032,120,0.5451271060512987,0.0,0.5302843016069221
16,48832,128,0.7539048295397348,0.0,0.5185714285714286
17,51208,136,0.6196646045652268,0.0,0.5356679636835279
18,53072,144,0.6933185955384112,0.0,0.5645390070921986
19,55384,152,0.5929244969330404,0.0,0.5794743429286608
20,58080,160,0.5279752984945998,0.0,0.5481120584652862
21,60200,168,0.6418381623651528,0.0,0.5356164383561643
22,64752,176,0.3869577818500863,0.0,0.5832558139534884
23,69368,184,0.47212427827755715,0.0,0.5128660159716061
24,73024,192,0.4208193923637081,0.0,0.5816216216216217
25,77064,200,0.4571362168055517,0.0,0.5722713864306784
26,80016,208,0.5525006889925698,0.0,0.5782241014799154
27,82968,216,0.5579084806806618,0.0,0.594541910331384
28,87456,224,0.4870785001266715,0.0,0.5271929824561403
29,89832,232,0.6524183066968963,0.0,0.5438388625592417
30,92208,240,0.6141876747245825,0.0,0.5967926689576174
31,94776,248,0.625246382257433,0.0,0.562363238512035
32,98176,256,0.5280103025422603,0.0,0.5948581560283688
33,101000,264,0.5321875014138642,0.0,0.5995828988529719
34,103056,272,0.6615165996845418,0.0,0.5770653514180024
35,105944,280,0.4835705076344139,0.0,0.553770086526576
36,107936,288,0.6394467189186328,0.0,0.5647887323943662
37,111272,296,0.4950077786736276,0.0,0.5793814432989691
38,114928,304,0.5006338551901609,0.0,0.5660731021555764
39,117560,312,0.5637840268828646,0.0,0.56442417331813
40,119744,320,0.7278015095402758,0.0,0.5294117647058824
41,121608,328,0.7212358481035368,0.0,0.512781954887218
